age,region,day,lmean,lsd,sample_date
1-4,South_East,333,0,0,2021-01-14
1-4,South_East,334,0,0,2021-01-15
1-4,South_West,285,0,0,2020-11-27
1-4,South_West,286,0,0,2020-11-28
1-4,South_West,287,0,0,2020-11-29
1-4,South_West,288,0,0,2020-11-30
1-4,South_West,289,0,0,2020-12-01
1-4,South_West,290,0,0,2020-12-02
1-4,South_West,291,0,0,2020-12-03
1-4,South_West,292,0,0,2020-12-04
1-4,South_West,293,0,0,2020-12-05
1-4,South_West,294,0,0,2020-12-06
1-4,South_West,295,0,0,2020-12-07
1-4,South_West,296,0,0,2020-12-08
1-4,South_West,297,0,0,2020-12-09
1-4,South_West,298,0,0,2020-12-10
1-4,South_West,299,0,0,2020-12-11
1-4,South_West,300,0,0,2020-12-12
1-4,South_West,301,0,0,2020-12-13
1-4,South_West,302,0,0,2020-12-14
1-4,South_West,303,0,0,2020-12-15
1-4,South_West,304,0,0,2020-12-16
1-4,South_West,305,0,0,2020-12-17
1-4,South_West,306,0,0,2020-12-18
1-4,South_West,307,0,0,2020-12-19
1-4,South_West,308,0,0,2020-12-20
1-4,South_West,309,0,0,2020-12-21
1-4,South_West,310,0,0,2020-12-22
1-4,South_West,311,0,0,2020-12-23
1-4,South_West,312,0,0,2020-12-24
1-4,South_West,313,0,0,2020-12-25
1-4,South_West,314,0,0,2020-12-26
1-4,South_West,315,0,0,2020-12-27
1-4,South_West,316,0,0,2020-12-28
1-4,South_West,317,0,0,2020-12-29
1-4,South_West,318,0,0,2020-12-30
1-4,South_West,319,0,0,2020-12-31
1-4,South_West,320,0,0,2021-01-01
1-4,South_West,321,0,0,2021-01-02
1-4,South_West,322,0,0,2021-01-03
1-4,South_West,323,0,0,2021-01-04
1-4,South_West,324,0,0,2021-01-05
1-4,South_West,325,0,0,2021-01-06
1-4,South_West,326,0,0,2021-01-07
1-4,South_West,327,0,0,2021-01-08
1-4,South_West,328,0,0,2021-01-09
1-4,South_West,329,0,0,2021-01-10
1-4,South_West,330,0,0,2021-01-11
1-4,South_West,331,0,0,2021-01-12
1-4,South_West,332,0,0,2021-01-13
1-4,South_West,333,0,0,2021-01-14
1-4,South_West,334,0,0,2021-01-15
1-4,West_Midlands,285,0,0,2020-11-27
1-4,West_Midlands,286,0,0,2020-11-28
1-4,West_Midlands,287,0,0,2020-11-29
1-4,West_Midlands,288,0,0,2020-11-30
1-4,West_Midlands,289,0,0,2020-12-01
1-4,West_Midlands,290,0,0,2020-12-02
1-4,West_Midlands,291,0,0,2020-12-03
1-4,West_Midlands,292,0,0,2020-12-04
1-4,West_Midlands,293,0,0,2020-12-05
1-4,West_Midlands,294,0,0,2020-12-06
1-4,West_Midlands,295,0,0,2020-12-07
1-4,West_Midlands,296,0,0,2020-12-08
1-4,West_Midlands,297,0,0,2020-12-09
1-4,West_Midlands,298,0,0,2020-12-10
1-4,West_Midlands,299,0,0,2020-12-11
1-4,West_Midlands,300,0,0,2020-12-12
1-4,West_Midlands,301,0,0,2020-12-13
1-4,West_Midlands,302,0,0,2020-12-14
1-4,West_Midlands,303,0,0,2020-12-15
1-4,West_Midlands,304,0,0,2020-12-16
1-4,West_Midlands,305,0,0,2020-12-17
1-4,West_Midlands,306,0,0,2020-12-18
1-4,West_Midlands,307,0,0,2020-12-19
1-4,West_Midlands,308,0,0,2020-12-20
1-4,West_Midlands,309,0,0,2020-12-21
1-4,West_Midlands,310,0,0,2020-12-22
1-4,West_Midlands,311,0,0,2020-12-23
1-4,West_Midlands,312,0,0,2020-12-24
1-4,West_Midlands,313,0,0,2020-12-25
1-4,West_Midlands,314,0,0,2020-12-26
1-4,West_Midlands,315,0,0,2020-12-27
1-4,West_Midlands,316,0,0,2020-12-28
1-4,West_Midlands,317,0,0,2020-12-29
1-4,West_Midlands,318,0,0,2020-12-30
1-4,West_Midlands,319,0,0,2020-12-31
1-4,West_Midlands,320,0,0,2021-01-01
1-4,West_Midlands,321,0,0,2021-01-02
1-4,West_Midlands,322,0,0,2021-01-03
1-4,West_Midlands,323,0,0,2021-01-04
1-4,West_Midlands,324,0,0,2021-01-05
1-4,West_Midlands,325,0,0,2021-01-06
1-4,West_Midlands,326,0,0,2021-01-07
1-4,West_Midlands,327,0,0,2021-01-08
1-4,West_Midlands,328,0,0,2021-01-09
1-4,West_Midlands,329,0,0,2021-01-10
1-4,West_Midlands,330,0,0,2021-01-11
1-4,West_Midlands,331,0,0,2021-01-12
1-4,West_Midlands,332,0,0,2021-01-13
1-4,West_Midlands,333,0,0,2021-01-14
1-4,West_Midlands,334,0,0,2021-01-15
1-4,Yorkshire_and_The_Humber,285,0,0,2020-11-27
1-4,Yorkshire_and_The_Humber,286,0,0,2020-11-28
1-4,Yorkshire_and_The_Humber,287,0,0,2020-11-29
1-4,Yorkshire_and_The_Humber,288,0,0,2020-11-30
1-4,Yorkshire_and_The_Humber,289,0,0,2020-12-01
1-4,Yorkshire_and_The_Humber,290,0,0,2020-12-02
1-4,Yorkshire_and_The_Humber,291,0,0,2020-12-03
1-4,Yorkshire_and_The_Humber,292,0,0,2020-12-04
1-4,Yorkshire_and_The_Humber,293,0,0,2020-12-05
1-4,Yorkshire_and_The_Humber,294,0,0,2020-12-06
1-4,Yorkshire_and_The_Humber,295,0,0,2020-12-07
1-4,Yorkshire_and_The_Humber,296,0,0,2020-12-08
1-4,Yorkshire_and_The_Humber,297,0,0,2020-12-09
1-4,Yorkshire_and_The_Humber,298,0,0,2020-12-10
1-4,Yorkshire_and_The_Humber,299,0,0,2020-12-11
1-4,Yorkshire_and_The_Humber,300,0,0,2020-12-12
1-4,Yorkshire_and_The_Humber,301,0,0,2020-12-13
1-4,Yorkshire_and_The_Humber,302,0,0,2020-12-14
1-4,Yorkshire_and_The_Humber,303,0,0,2020-12-15
1-4,Yorkshire_and_The_Humber,304,0,0,2020-12-16
1-4,Yorkshire_and_The_Humber,305,0,0,2020-12-17
1-4,Yorkshire_and_The_Humber,306,0,0,2020-12-18
1-4,Yorkshire_and_The_Humber,307,0,0,2020-12-19
1-4,Yorkshire_and_The_Humber,308,0,0,2020-12-20
1-4,Yorkshire_and_The_Humber,309,0,0,2020-12-21
1-4,Yorkshire_and_The_Humber,310,0,0,2020-12-22
1-4,Yorkshire_and_The_Humber,311,0,0,2020-12-23
1-4,Yorkshire_and_The_Humber,312,0,0,2020-12-24
1-4,Yorkshire_and_The_Humber,313,0,0,2020-12-25
1-4,Yorkshire_and_The_Humber,314,0,0,2020-12-26
1-4,Yorkshire_and_The_Humber,315,0,0,2020-12-27
1-4,Yorkshire_and_The_Humber,316,0,0,2020-12-28
1-4,Yorkshire_and_The_Humber,317,0,0,2020-12-29
1-4,Yorkshire_and_The_Humber,318,0,0,2020-12-30
1-4,Yorkshire_and_The_Humber,319,0,0,2020-12-31
1-4,Yorkshire_and_The_Humber,320,0,0,2021-01-01
1-4,Yorkshire_and_The_Humber,321,0,0,2021-01-02
1-4,Yorkshire_and_The_Humber,322,0,0,2021-01-03
1-4,Yorkshire_and_The_Humber,323,0,0,2021-01-04
1-4,Yorkshire_and_The_Humber,324,0,0,2021-01-05
1-4,Yorkshire_and_The_Humber,325,0,0,2021-01-06
1-4,Yorkshire_and_The_Humber,326,0,0,2021-01-07
1-4,Yorkshire_and_The_Humber,327,0,0,2021-01-08
1-4,Yorkshire_and_The_Humber,328,0,0,2021-01-09
1-4,Yorkshire_and_The_Humber,329,0,0,2021-01-10
1-4,Yorkshire_and_The_Humber,330,0,0,2021-01-11
1-4,Yorkshire_and_The_Humber,331,0,0,2021-01-12
1-4,Yorkshire_and_The_Humber,332,0,0,2021-01-13
1-4,Yorkshire_and_The_Humber,333,0,0,2021-01-14
1-4,Yorkshire_and_The_Humber,334,0,0,2021-01-15
5-14,East_of_England,285,0,0,2020-11-27
5-14,East_of_England,286,0,0,2020-11-28
5-14,East_of_England,287,0,0,2020-11-29
5-14,East_of_England,288,0,0,2020-11-30
5-14,East_of_England,289,0,0,2020-12-01
5-14,East_of_England,290,0,0,2020-12-02
5-14,East_of_England,291,0,0,2020-12-03
5-14,East_of_England,292,8.83617245238332,0.102305135239322,2020-12-04
5-14,East_of_England,293,0,0,2020-12-05
5-14,East_of_England,294,0,0,2020-12-06
5-14,East_of_England,295,0,0,2020-12-07
5-14,East_of_England,296,0,0,2020-12-08
5-14,East_of_England,297,0,0,2020-12-09
5-14,East_of_England,298,0,0,2020-12-10
5-14,East_of_England,299,0,0,2020-12-11
5-14,East_of_England,300,0,0,2020-12-12
5-14,East_of_England,301,0,0,2020-12-13
5-14,East_of_England,302,0,0,2020-12-14
5-14,East_of_England,303,0,0,2020-12-15
5-14,East_of_England,304,0,0,2020-12-16
5-14,East_of_England,305,0,0,2020-12-17
5-14,East_of_England,306,9.55328973727706,0.0732750036067494,2020-12-18
5-14,East_of_England,307,0,0,2020-12-19
5-14,East_of_England,308,0,0,2020-12-20
5-14,East_of_England,309,0,0,2020-12-21
5-14,East_of_England,310,0,0,2020-12-22
5-14,East_of_England,311,0,0,2020-12-23
5-14,East_of_England,312,0,0,2020-12-24
5-14,East_of_England,313,0,0,2020-12-25
5-14,East_of_England,314,0,0,2020-12-26
5-14,East_of_England,315,0,0,2020-12-27
5-14,East_of_England,316,0,0,2020-12-28
5-14,East_of_England,317,0,0,2020-12-29
5-14,East_of_England,318,0,0,2020-12-30
5-14,East_of_England,319,0,0,2020-12-31
5-14,East_of_England,320,10.1231214716168,0.06743107403177,2021-01-01
