"Group","Scenario","Geography","ValueType","Value","1st centile","5th centile","25th centile","75th centile","95th centile","99th centile","50th centile","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value"
"PHE","Forecast","London","infections_cum",233929.116031999,113343.453457093,132907.754472523,181280.360740741,311811.619327635,516931.482811932,883656.279230562,883656.279230562,12,4,2020,18,3,2020
"PHE","Forecast","London","infections_cum",270555.122577487,130737.27705562,154315.318060055,209827.011528427,361043.064729554,596603.897371111,1025432.9067912,1025432.9067912,12,4,2020,19,3,2020
"PHE","Forecast","London","infections_cum",313024.33715609,150685.220003097,177438.050196016,242380.596747188,417875.136108711,689141.083219045,1177366.87104053,1177366.87104053,12,4,2020,20,3,2020
"PHE","Forecast","London","infections_cum",361341.642538785,173180.657831947,203252.528388478,279655.375791118,479710.111304477,792705.528119796,1338911.76001412,1338911.76001412,12,4,2020,21,3,2020
"PHE","Forecast","London","infections_cum",416485.76027662,198982.061276385,232639.081135598,322517.573290073,551673.253904365,910326.926912786,1518292.08726536,1518292.08726536,12,4,2020,22,3,2020
"PHE","Forecast","London","infections_cum",479768.061234287,231001.16643408,269459.631384319,372410.564465361,633473.07299925,1044785.76813777,1716333.94708833,1716333.94708833,12,4,2020,23,3,2020
"PHE","Forecast","London","infections_cum",519213.852549909,251842.639430491,292427.668971778,401764.457954269,685873.261745174,1130922.34586251,1830374.94156024,1830374.94156024,12,4,2020,24,3,2020
"PHE","Forecast","London","infections_cum",530014.370868971,257460.486291795,298136.607340952,409408.096893073,702392.074202165,1160329.62382392,1847468.66055444,1847468.66055444,12,4,2020,25,3,2020
"PHE","Forecast","London","infections_cum",542962.129301863,266030.813413244,303064.323308792,418555.527411729,716427.182499673,1186034.91347438,1866204.88730911,1866204.88730911,12,4,2020,26,3,2020
"PHE","Forecast","London","infections_cum",551714.225913689,270872.260328006,309525.195734762,425837.100039203,732590.092391386,1216212.45307963,1885635.84594571,1885635.84594571,12,4,2020,27,3,2020
"PHE","Forecast","London","infections_cum",564458.394477587,278735.301756805,319725.985989693,434237.698770305,750153.790811226,1240698.93376657,1904746.27860789,1904746.27860789,12,4,2020,28,3,2020
"PHE","Forecast","London","infections_cum",573640.085542113,282944.264894033,323514.281499858,439920.544607782,766097.354126129,1251595.99649208,1922760.10267534,1922760.10267534,12,4,2020,29,3,2020
"PHE","Forecast","London","infections_cum",583640.443782596,284828.813252688,327174.913457744,446745.06439632,779424.790328208,1264591.84526373,1939201.7805967,1939201.7805967,12,4,2020,30,3,2020
"PHE","Forecast","London","infections_cum",591932.686781961,288128.778970015,332989.373848969,452433.556974484,790175.250853651,1292159.72241816,1953854.04066051,1953854.04066051,12,4,2020,31,3,2020
"PHE","Forecast","London","infections_cum",597590.792002048,288875.869705709,336219.847238007,458241.597113504,799274.047166984,1305805.59940805,1966685.86361679,1966685.86361679,12,4,2020,1,4,2020
"PHE","Forecast","London","infections_cum",604093.265329844,289432.601293488,336941.626436718,461629.860526016,809958.484952175,1308835.33123653,1994191.63292872,1994191.63292872,12,4,2020,2,4,2020
"PHE","Forecast","London","infections_cum",607532.6296444,290244.556143087,338887.026679462,465323.641076896,815580.516921788,1329822.23394269,2022238.17866348,2022238.17866348,12,4,2020,3,4,2020
"PHE","Forecast","London","infections_cum",612299.491754153,291120.301872091,341242.11819472,470595.309781371,827229.147592851,1343510.51075719,2024571.26114544,2024571.26114544,12,4,2020,4,4,2020
"PHE","Forecast","London","infections_cum",616964.7250651,291851.318479443,341987.06203938,472713.761346643,832390.119781148,1354182.55229286,2070246.40649401,2070246.40649401,12,4,2020,5,4,2020
"PHE","Forecast","London","infections_cum",619793.304850663,292459.419394452,342744.464309148,475760.940017824,833125.092102792,1360988.17021077,2078893.42736874,2078893.42736874,12,4,2020,6,4,2020
"PHE","Forecast","London","infections_cum",622817.527520222,292964.176179452,342903.426003231,478064.250823649,836233.703632348,1366301.51697899,2083739.93953172,2083739.93953172,12,4,2020,7,4,2020
"PHE","Forecast","London","infections_cum",623743.744289747,293382.624474145,343800.482045827,480264.71969331,838598.414431237,1382310.36284716,2087883.88418046,2087883.88418046,12,4,2020,8,4,2020
"PHE","Forecast","London","infections_cum",626980.503609277,293729.29983092,345728.065210735,482688.303249731,847028.634053604,1398177.28697227,2091430.09389063,2091430.09389063,12,4,2020,9,4,2020
"PHE","Forecast","London","infections_cum",629663.412517488,294017.31732588,346244.641094731,484588.561423148,849767.015029308,1404676.26913876,2106143.38059431,2106143.38059431,12,4,2020,10,4,2020
"PHE","Forecast","London","infections_cum",631917.242096077,294213.162279314,347393.337519873,485123.212520874,853084.981275773,1419275.1441596,2124992.88563578,2124992.88563578,12,4,2020,11,4,2020
"PHE","Forecast","London","infections_cum",633583.24661645,294227.814401599,349009.958121959,485970.493646485,859540.107405906,1424364.573715,2142900.21255123,2142900.21255123,12,4,2020,12,4,2020
"PHE","Forecast","London","infections_cum",635181.561655316,294239.300292396,349342.281249094,486558.085614284,860542.765097271,1430167.90050259,2163972.8415059,2163972.8415059,12,4,2020,13,4,2020
"PHE","Forecast","London","infections_cum",635985.602289377,294248.425858015,349418.695003813,487858.596671037,866073.747026126,1432921.0256197,2183509.11326256,2183509.11326256,12,4,2020,14,4,2020
"PHE","Forecast","London","infections_cum",636519.641721384,294255.77291258,349500.091108787,489255.591515201,866994.256624983,1436304.22862942,2201545.58969199,2201545.58969199,12,4,2020,15,4,2020
"PHE","Forecast","London","infections_cum",637748.248059259,294261.764003086,349566.627909601,489651.759416715,870686.859426645,1441506.39470567,2217969.1763602,2217969.1763602,12,4,2020,16,4,2020
"PHE","Forecast","London","infections_cum",638304.274461576,294588.545278911,349621.163971371,490215.876952611,877677.52346738,1444297.35104109,2233175.73338598,2233175.73338598,12,4,2020,17,4,2020
"PHE","Forecast","London","infections_cum",638784.599096648,294898.607707206,349665.985448814,490364.334392521,880421.944637153,1451220.91648036,2247252.2028397,2247252.2028397,12,4,2020,18,4,2020
"PHE","Forecast","London","infections_cum",639529.74624579,295173.592118371,349702.923946116,491067.269881892,882030.386512496,1467265.86961713,2260279.7883039,2260279.7883039,12,4,2020,19,4,2020
"PHE","Forecast","London","infections_cum",640421.699326643,295225.335179524,349900.466861645,491507.157954189,885596.279701852,1483152.52931942,2272334.26376427,2272334.26376427,12,4,2020,20,4,2020
"PHE","Forecast","London","infections_cum",641237.465667009,295261.750741998,350165.871241352,491628.271299712,890006.327047691,1493348.02681703,2283486.27679326,2283486.27679326,12,4,2020,21,4,2020
"PHE","Forecast","London","infections_cum",641641.243555698,295291.950914086,350396.671357383,491885.879941341,891468.827440308,1505906.20841922,2293801.6440893,2293801.6440893,12,4,2020,22,4,2020
"PHE","Forecast","London","infections_cum",641821.123081855,295316.996779542,350597.383200069,492404.048468982,892557.44116312,1512877.12731382,2307722.03002932,2307722.03002932,12,4,2020,23,4,2020
"PHE","Forecast","London","infections_cum",641976.740995796,295337.76812865,350771.93251495,493223.002183801,893749.592058929,1524904.04122433,2322523.36172335,2322523.36172335,12,4,2020,24,4,2020
"PHE","Forecast","London","infections_cum",642111.427904595,295354.994509899,350923.732137206,493382.095648736,894629.484844098,1527052.44046887,2336453.33958337,2336453.33958337,12,4,2020,25,4,2020
"PHE","Forecast","London","infections_cum",642210.057274127,295369.280927345,351055.749153223,493414.597692532,895613.656312902,1527526.75405675,2349560.58118596,2349560.58118596,12,4,2020,26,4,2020
"PHE","Forecast","London","infections_cum",642216.858732398,295381.129122132,351170.563236931,493441.864265002,896253.936665331,1527948.58108119,2361891.30794082,2361891.30794082,12,4,2020,27,4,2020
"PHE","Forecast","London","infections_cum",642402.709171735,295390.955206394,351270.41732712,493464.743463046,897418.805405371,1528324.52434812,2373489.42499177,2373489.42499177,12,4,2020,28,4,2020
"PHE","Forecast","London","infections_cum",642722.088038856,295399.104280204,351357.261656211,493483.945004056,898502.900640765,1539349.00313806,2384396.60345426,2384396.60345426,12,4,2020,29,4,2020
"PHE","Forecast","London","infections_cum",642725.159777441,295405.862550789,351432.792006656,493500.063014834,899886.002036348,1551932.96939303,2394652.36412654,2394652.36412654,12,4,2020,30,4,2020
"PHE","Forecast","London","infections_cum",642727.579719036,295411.467382402,351498.482954917,493513.595022038,902241.175890106,1554283.75041485,2404294.16192759,2404294.16192759,12,4,2020,1,5,2020
"PHE","Forecast","Midlands","infections_cum",75842.2568142662,38116.7108072026,43460.5230866153,60593.9246941191,98651.7351758205,142432.871044077,215445.889299274,215445.889299274,12,4,2020,14,3,2020
"PHE","Forecast","Midlands","infections_cum",90301.8578487378,45035.5414854103,51863.2037461417,71631.3766783305,116548.606803393,168473.325386078,255413.002183629,255413.002183629,12,4,2020,15,3,2020
"PHE","Forecast","Midlands","infections_cum",106944.218405851,53473.3301719687,61497.3086169292,85054.7780115812,138248.170271263,200323.413176197,297993.737440062,297993.737440062,12,4,2020,16,3,2020
"PHE","Forecast","Midlands","infections_cum",126675.799917297,62924.9201757185,73161.3666184941,101015.414522475,163802.100255008,236669.575527073,345268.778184892,345268.778184892,12,4,2020,17,3,2020
"PHE","Forecast","Midlands","infections_cum",149892.998934518,74806.7049354805,86755.4155105751,118806.173875333,193679.418296614,280680.586129254,403843.843111958,403843.843111958,12,4,2020,18,3,2020
